Time,Open,High,Low,Last,Change,%Chg,Volume
2002-12-16,8859.49302784726,9088.145500140645,8833.150577122215,9079.715915908639,217.0,+2.58%,14397.0
2002-12-17,9081.82331196663,9092.360292256655,8960.648038631434,8975.399811037456,-99.0,-1.15%,16720.0
2002-12-18,8978.560905124456,8982.775697240466,8838.419067267223,8887.942874630307,-83.0,-0.97%,15986.0
2002-12-19,8878.45959236929,8951.164756370417,8753.069526918078,8803.647032310157,-80.0,-0.95%,21832.0
2002-12-20,8827.882086977204,9003.849657820509,8814.184012600186,8969.077622863453,157.0,+1.88%,15330.0
2002-12-23,8958.54064257343,8995.420073588497,8895.318760833312,8955.379548486411,-13.0,-0.15%,9822.0
2002-12-24,8945.8962662254,8960.648038631434,8872.137404195282,8882.674384485297,-69.0,-0.81%,3663.0
2002-12-26,8898.479854920319,9003.849657820509,8835.257973180225,8886.889176601311,4.0,+0.05%,8904.0
2002-12-27,8877.405894340285,8890.050270688302,8704.599417583991,8729.88817028003,-149.0,-1.77%,11985.0
2002-12-30,8704.599417583991,8797.324844136148,8677.203268829944,8753.069526918078,22.0,+0.27%,15439.0
2002-12-31,8745.693640715066,8792.05635399114,8662.451496423919,8778.358279614116,24.0,+0.29%,12970.0
2003-01-02,8766.7676012951,9072.340029705621,8762.552809179095,9055.480861241596,263.0,+3.16%,22036.0
2003-01-03,9047.05127700958,9083.930708024649,8993.312677530483,9066.017841531615,10.0,+0.12%,19570.0
2003-01-06,9093.413990285657,9258.84458083895,9020.708826284537,9206.159679388853,133.0,+1.55%,18817.0
2003-01-07,9195.622699098836,9259.898278867953,9157.68957005478,9219.857753765877,13.0,+0.15%,23716.0
2003-01-08,9198.783793185847,9214.589263620868,9020.708826284537,9043.890182922574,-167.0,-1.91%,22104.0
2003-01-09,9063.910445473612,9245.146506461922,9035.460598690559,9210.374471504862,158.0,+1.84%,22671.0
2003-01-10,9211.428169533861,9274.650051273964,9102.897272546683,9237.77062025891,26.0,+0.30%,26266.0
2003-01-13,9231.448432084906,9339.979329072094,9197.73009515684,9248.307600548931,10.0,+0.11%,24558.0
2003-01-14,9246.200204490926,9309.422086231038,9195.622699098836,9283.079635505992,33.0,+0.38%,17999.0
2003-01-15,9292.562917767005,9330.496046811073,9148.206287793755,9199.837491214834,-79.0,-0.90%,21432.0
2003-01-16,9190.354208953826,9262.005674925958,9119.756441010708,9167.172852315778,-31.0,-0.36%,22764.0
2003-01-17,9132.400817358737,9134.508213416733,8996.473771617486,9043.890182922574,-117.0,-1.34%,17088.0
2003-01-21,9054.427163212595,9072.340029705621,8864.761517992269,8887.942874630307,-148.0,-1.72%,26077.0
