Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/08/2001,1267,1269.25,1258.25,1265.5,0.25,+0.02%,12348,85548
03/07/2001,1257,1266.75,1254.75,1265.25,8.25,+0.66%,136392,87658
03/06/2001,1243.5,1270.5,1242.5,1257,13.25,+1.07%,128365,87845
03/05/2001,1236.25,1244.5,1234.75,1243.75,8.5,+0.69%,104974,86931
03/02/2001,1243,1254.25,1221,1235.25,-8.25,-0.66%,145749,88472
03/01/2001,1239.25,1244,1215.5,1243.5,1.5,+0.12%,148305,81859
02/28/2001,1263.75,1269,1230.75,1242,-22,-1.74%,153327,79606
02/27/2001,1273,1277,1254.25,1264,-9.5,-0.75%,142507,79751
02/26/2001,1251.25,1274.25,1243.75,1273.5,26,+2.08%,121672,78171
02/23/2001,1257.5,1261.75,1217,1247.5,-10,-0.80%,145235,77848
02/22/2001,1258,1264.75,1230.25,1257.5,1,+0.08%,160101,73959
02/21/2001,1284.5,1288.5,1255,1256.5,-28.75,-2.24%,147007,71825
02/20/2001,1305.75,1311.5,1281.75,1285.25,-20.25,-1.55%,111887,68764
02/16/2001,1330.25,1330.25,1296.25,1305.5,-27.5,-2.06%,96917,65876
02/15/2001,1320,1335.75,1318.5,1333,13.25,+1.00%,102102,64592
02/14/2001,1326.25,1326.75,1308.5,1319.75,-6.25,-0.47%,138185,64188
02/13/2001,1334.25,1342,1322.25,1326,-7.5,-0.56%,115469,66157
02/12/2001,1321.75,1338,1319.25,1333.5,12,+0.91%,109773,64670
02/09/2001,1336.25,1338.5,1318.75,1321.5,-13.5,-1.01%,90360,66315
02/08/2001,1348.75,1356.5,1333.75,1335,-14.5,-1.07%,102130,64997
02/07/2001,1355,1356.5,1339.5,1349.5,-6.75,-0.50%,105779,67010
02/06/2001,1362.75,1370.5,1356,1356.25,-5.75,-0.42%,91631,61461
02/05/2001,1354.25,1363,1351.25,1362,8.75,+0.65%,92786,63966
02/02/2001,1382.5,1386,1352.75,1353.25,-29.25,-2.12%,102420,62380
02/01/2001,1373.5,1383.5,1366.25,1382.5,9.5,+0.69%,101160,59540
01/31/2001,1381,1394,1371.25,1373,-9,-0.65%,89199,56204
01/30/2001,1370.25,1384.25,1363.25,1382,12,+0.88%,75169,55009
01/29/2001,1363,1374,1359,1370,6.75,+0.50%,64459,52070
01/26/2001,1364.25,1366.75,1350.25,1363.25,-1.25,-0.09%,94512,53231
01/25/2001,1369.75,1378.75,1362.75,1364.5,-5.75,-0.42%,100601,55256
01/24/2001,1366.25,1379,1365.25,1370.25,4.25,+0.31%,104969,54715
01/23/2001,1356.75,1372.75,1348.5,1366,7.5,+0.55%,105167,57178
01/22/2001,1346,1364,1341.25,1358.5,10,+0.74%,111996,58859
01/19/2001,1359,1371.75,1345.75,1348.5,-7.5,-0.55%,111098,62735
01/18/2001,1342.5,1364,1337,1356,14.25,+1.06%,119657,67769
01/17/2001,1337.25,1357.75,1334.5,1341.75,6.25,+0.47%,120321,65060
01/16/2001,1330.5,1339.5,1323.5,1335.5,5.25,+0.39%,103751,58589
01/12/2001,1332,1344.75,1322,1330.25,-4.25,-0.32%,109664,59082
01/11/2001,1325.75,1343.5,1319.5,1334.5,7.5,+0.57%,96098,54603
01/10/2001,1309.5,1328.75,1297.25,1327,17.5,+1.34%,131074,56216
01/09/2001,1312,1325.5,1303.75,1309.5,0,0.00%,115968,55145
01/08/2001,1308.25,1312.5,1287.5,1309.5,5,+0.38%,120010,54621
01/05/2001,1345.75,1380,1303,1304.5,-43.75,-3.24%,117776,53523
01/04/2001,1360,1365,1341.5,1348.25,-11,-0.81%,110846,47325
01/03/2001,1301,1367.25,1288.75,1359.25,59.5,+4.58%,130684,43668
01/02/2001,1331,1336.75,1289.25,1299.75,-35.25,-2.64%,92668,44738
12/29/2000,1352.75,1356.5,1326,1335,-18.25,-1.35%,50363,37977
12/28/2000,1349.75,1354.25,1341.5,1353.25,2.75,+0.20%,0,0
12/27/2000,1337.5,1351.5,1327.5,1350.5,13.5,+1.01%,0,0
12/26/2000,1324,1338,1318.5,1337,10.25,+0.77%,0,0
12/22/2000,1289.75,1327.5,1289.75,1326.75,38.75,+3.01%,0,0
12/21/2000,1280.5,1304.25,1270.25,1288,8.5,+0.66%,0,0
12/20/2000,1318.75,1326,1276,1279.5,-38.5,-2.92%,0,0
12/19/2000,1346.75,1366.75,1317.25,1318,-28.5,-2.12%,0,0
12/18/2000,1330,1352.75,1329.5,1346.5,20.5,+1.55%,0,0
12/15/2000,1350.25,1358.75,1323.5,1326,-32,-2.36%,0,0
12/14/2000,1378,1383.5,1356,1358,-19.75,-1.43%,0,0
12/13/2000,1400.5,1409.25,1375.5,1377.75,-21.5,-1.54%,0,0
12/12/2000,1403,1403,1390.5,1399.25,-3.75,-0.27%,0,0
12/11/2000,1386.5,1412.25,1381.25,1403,45.5,+3.35%,0,0
"Downloaded from Barchart.com as of 07-23-2021 03:03pm CDT"
