Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/12/2008,1337,1355.5,1333.25,1343.25,5.25,+0.39%,1672537,945373
06/11/2008,1357.75,1365.25,1337.25,1338,-20.5,-1.51%,340738,576091
06/10/2008,1364,1369.5,1349.5,1358.5,-7,-0.51%,154431,364870
06/09/2008,1361,1373.25,1352.5,1365.5,4.25,+0.31%,76235,261262
06/06/2008,1407.75,1414,1360.25,1361.25,-46,-3.27%,75059,226862
06/05/2008,1378.5,1407.75,1377.75,1407.25,28,+2.03%,25689,185763
06/04/2008,1379.5,1390.25,1373,1379.25,-1,-0.07%,24176,174647
06/03/2008,1386.5,1395,1371.25,1380.25,-6.75,-0.49%,50004,157824
06/02/2008,1402.25,1402.25,1379.25,1387,-15.25,-1.09%,27819,146755
05/30/2008,1401.25,1406.5,1396.75,1402.25,2.75,+0.20%,9063,131489
05/29/2008,1392,1408.5,1389,1399.5,6.25,+0.45%,13624,127489
05/28/2008,1386.5,1394.75,1379.75,1393.25,6.75,+0.49%,10452,120700
05/27/2008,1376.75,1389.25,1372.5,1386.5,11.5,+0.84%,9956,116251
05/23/2008,1394.75,1396.25,1374.25,1375,-19.75,-1.42%,6549,111246
05/22/2008,1394.5,1400.75,1392.25,1394.75,0.25,+0.02%,6174,107359
05/21/2008,1417.75,1422.5,1389.75,1394.5,-24.5,-1.73%,9785,105154
05/20/2008,1430.5,1430.5,1410.75,1419,-12.5,-0.87%,11531,100039
05/19/2008,1425.5,1442.25,1423.5,1431.5,4,+0.28%,10718,91856
05/16/2008,1427,1430.75,1416.5,1427.5,1,+0.07%,2182,84129
05/15/2008,1409,1427,1408.75,1426.5,16.75,+1.19%,3056,82764
05/14/2008,1407.25,1423,1401.25,1409.75,3.25,+0.23%,9741,81970
05/13/2008,1406,1411.75,1398.5,1406.5,0.25,+0.02%,3571,73795
05/12/2008,1391.75,1406.25,1388,1406.25,15.75,+1.13%,3627,73306
05/09/2008,1392.25,1394.25,1383.75,1390.5,-3,-0.22%,3133,70600
05/08/2008,1396.25,1404,1391,1393.5,-3.5,-0.25%,3083,68236
05/07/2008,1423.5,1425.25,1392,1397,-25.5,-1.79%,3576,67631
05/06/2008,1410.5,1423.5,1399,1422.5,12.5,+0.89%,1693,65623
05/05/2008,1414,1417.25,1402.5,1410,-7.5,-0.53%,10472,65589
05/02/2008,1413.75,1428.25,1408.25,1417.5,4,+0.28%,1129,65016
05/01/2008,1384,1414,1384,1413.5,25.75,+1.86%,2583,64971
04/30/2008,1390.5,1408.25,1385.5,1387.75,-5.5,-0.39%,2106,64719
04/29/2008,1399.5,1400.5,1389.25,1393.25,-6.5,-0.46%,5818,64418
04/28/2008,1401,1406.5,1396.5,1399.75,0.5,+0.04%,1187,61207
04/25/2008,1386.25,1402.5,1383,1399.25,11.25,+0.81%,2397,61040
04/24/2008,1385.25,1401,1371,1388,7.5,+0.54%,3073,61066
04/23/2008,1383,1391.25,1375.25,1380.5,-2.25,-0.16%,4394,60478
04/22/2008,1388,1391.75,1372.75,1382.75,-7.75,-0.56%,1609,58001
04/21/2008,1390.5,1395.75,1383.25,1390.5,0.5,+0.04%,760,57679
04/18/2008,1376,1400.5,1372.5,1390,15.75,+1.15%,8741,57713
04/17/2008,1372.25,1376.5,1360.75,1374.25,2,+0.15%,20560,51701
04/16/2008,1342.25,1372.75,1338.5,1372.25,35.5,+2.66%,3963,33210
04/15/2008,1332.25,1339.5,1326,1336.75,4.75,+0.36%,2444,31450
04/14/2008,1333.25,1337.75,1326.5,1332,-4,-0.30%,347,30817
04/11/2008,1365,1369,1332.75,1336,-27.5,-2.02%,2764,29278
04/10/2008,1361,1369.75,1352.25,1363.5,2.5,+0.18%,641,27140
04/09/2008,1371.5,1384,1352.25,1361,-10.75,-0.78%,1211,27209
04/08/2008,1370,1372.5,1363.25,1371.75,-1.25,-0.09%,6252,26861
04/07/2008,1373.75,1389.5,1371,1373,0.5,+0.04%,1189,23190
04/04/2008,1373.5,1390.25,1365.25,1372.5,-1.75,-0.13%,1250,22550
04/03/2008,1369.25,1378.25,1360.75,1374.25,2.25,+0.16%,758,22243
04/02/2008,1370,1380.75,1364,1372,0.75,+0.05%,11347,22228
04/01/2008,1323,1373,1316.5,1371.25,47,+3.55%,5253,12739
03/31/2008,1321.75,1330.25,1309.75,1324.25,5.25,+0.40%,4494,9932
03/28/2008,1330,1340.25,1314.25,1319,-11,-0.83%,2051,7474
03/27/2008,1333.75,1348,1327,1330,-5.75,-0.43%,3833,5870
03/26/2008,1350.25,1351.5,1334.75,1335.75,-16.25,-1.20%,944,3788
03/25/2008,1356.25,1359.5,1342.5,1352,-0.25,-0.02%,3319,3663
03/24/2008,1328.75,1361.75,1326.75,1352.25,27.25,+2.06%,2243,1243
03/20/2008,1303,1332,1296,1325,26,+2.00%,289,217
03/19/2008,1329,1338,1297,1299,-35,-2.62%,19,22
03/18/2008,1295,1334,1283.75,1334,55.5,+4.34%,7,14
03/17/2008,1286.25,1307,1258.75,1278.5,-14.5,-1.12%,4,16
"Downloaded from Barchart.com as of 07-25-2021 08:01am CDT"
