Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/08/2005,1241.5,1242.75,1235.75,1238.25,-3.75,-0.30%,701992,432301
09/07/2005,1240.5,1244.25,1237.75,1242,1.5,+0.12%,119406,233298
09/06/2005,1225,1241.25,1225,1240.5,14.5,+1.18%,34238,142762
09/02/2005,1227.5,1232,1223.75,1226,-2,-0.16%,14052,119237
09/01/2005,1229,1234.75,1222.75,1228,0.25,+0.02%,36458,114042
08/31/2005,1213.5,1230.75,1211.25,1227.75,12.75,+1.05%,13798,90159
08/30/2005,1221,1221,1208.25,1215,-6,-0.49%,12015,79277
08/29/2005,1209,1221.75,1198.25,1221,8.5,+0.70%,15282,67906
08/26/2005,1220,1221.25,1211.5,1212.5,-7.75,-0.64%,12099,57782
08/25/2005,1215.25,1221.25,1215.25,1220.25,3.75,+0.31%,2474,46129
08/24/2005,1227,1232,1216,1216.5,-11.5,-0.94%,5920,43909
08/23/2005,1230.5,1231.75,1222.5,1228,-2.75,-0.22%,3462,38661
08/22/2005,1230.5,1237.5,1224.5,1230.75,0.25,+0.02%,3606,36010
08/19/2005,1229.5,1233.5,1228,1230.5,3,+0.24%,14565,32488
08/18/2005,1227,1231.25,1224,1227.5,-0.5,-0.04%,1605,18356
08/17/2005,1227.5,1234,1225.5,1228,0,0.00%,2513,17137
08/16/2005,1245,1245.25,1227,1228,-16.25,-1.31%,9055,15149
08/15/2005,1237,1245,1235,1244.25,6.5,+0.53%,3876,7177
08/12/2005,1243.75,1245.25,1234.5,1237.75,-7.5,-0.60%,838,3691
08/11/2005,1240.25,1247.5,1237.25,1245.25,4.75,+0.38%,257,3116
08/10/2005,1243,1251.5,1235.25,1240.5,-0.5,-0.04%,1105,3037
08/09/2005,1235.75,1242.5,1235.25,1241,7,+0.57%,339,2073
08/08/2005,1239,1240.75,1231.25,1234,-2.5,-0.20%,154,1926
08/05/2005,1245,1247.25,1234,1236.5,-8,-0.64%,286,1907
08/04/2005,1253,1253,1243.5,1244.5,-10,-0.80%,261,1886
08/03/2005,1246.5,1255,1246.5,1254.5,2.75,+0.22%,123,1783
08/02/2005,1244,1253.75,1242.25,1251.75,7.5,+0.60%,239,1812
08/01/2005,1247.25,1248.75,1242.75,1244.25,0.75,+0.06%,169,1794
07/29/2005,1249.75,1255,1243.5,1243.5,-10,-0.80%,347,1861
07/28/2005,1242.25,1254.5,1241,1253.5,7.25,+0.58%,275,1770
07/27/2005,1243.5,1247,1239.25,1246.25,4.75,+0.38%,328,1743
07/26/2005,1241.75,1243.5,1238,1241.5,1,+0.08%,197,1504
07/25/2005,1243.5,1248,1237,1240.5,-3,-0.24%,79,1352
07/22/2005,1235,1244.5,1230.75,1243.5,7,+0.57%,115,1385
07/21/2005,1243.5,1247.75,1234,1236.5,-6.5,-0.52%,224,1373
07/20/2005,1235.5,1246,1232.5,1243,3.5,+0.28%,214,1265
07/19/2005,1237,1240,1233.75,1239.5,6.75,+0.55%,227,1158
07/18/2005,1235.25,1235.75,1231,1232.75,-4.75,-0.38%,68,1140
07/15/2005,1235.5,1239.75,1233.25,1237.5,-0.5,-0.04%,83,1154
07/14/2005,1235,1243.5,1234.5,1238,3.75,+0.30%,204,1168
07/13/2005,1231.25,1234.75,1229,1234.25,2.5,+0.20%,125,1214
07/12/2005,1229,1236,1226.5,1231.75,2.25,+0.18%,290,1207
07/11/2005,1223,1230.5,1222.5,1229.5,7,+0.57%,260,1032
07/08/2005,1210,1222.75,1207.25,1222.5,13.75,+1.14%,124,1102
07/07/2005,1208,1208.75,1175,1208.75,4,+0.33%,381,1072
07/06/2005,1215,1216,1204.5,1204.75,-10.25,-0.84%,105,1023
07/05/2005,1200.25,1217,1197.25,1215,9,+0.75%,138,997
07/01/2005,1204,1207.75,1202.75,1206,4.75,+0.40%,239,993
06/30/2005,1209.5,1213,1200.25,1201.25,-7.5,-0.62%,505,981
06/29/2005,1212.5,1214,1208.25,1208.75,-3.75,-0.31%,268,693
06/28/2005,1204,1212.5,1202.25,1212.5,10.5,+0.87%,281,674
06/27/2005,1199.25,1204.5,1198,1202,0.75,+0.06%,292,584
06/24/2005,1210,1211.5,1199.25,1201.25,-8.5,-0.70%,547,435
06/23/2005,1224.5,1227,1209.75,1209.75,-17.25,-1.41%,198,223
06/22/2005,1227,1230.5,1222.25,1227,0.25,+0.02%,146,156
06/21/2005,1225.5,1227.75,1222.5,1226.75,0.75,+0.06%,121,125
06/20/2005,1222.75,1229.75,1221,1226,-0.25,-0.02%,119,82
"Downloaded from Barchart.com as of 07-26-2021 07:38am CDT"
